ANNUAL MAN-HOURS REPORT — 2026
"Generated: February 06, 2026 07:14"
"Projects: AGONEWorkj, OJE Safe, ONe Learn, Ne Pulse, AGONE"

================================================================================
SECTION 1: MONTHLY DETAIL
================================================================================

--- January 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- February 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- March 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- April 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- May 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- June 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- July 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- August 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- September 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- October 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- November 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

--- December 2026 ---
Project,Product,UI/UX,Dev,QA,Monthly Total
AGONEWorkj,0,0,0,0,0
OJE Safe,0,0,0,0,0
ONe Learn,0,0,0,0,0
Ne Pulse,0,0,0,0,0
AGONE,0,0,0,0,0
MONTHLY TOTAL,0,0,0,0,0

================================================================================
SECTION 2: ANNUAL SUMMARY BY PROJECT
================================================================================

Project,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
AGONEWorkj,0,0,0,0,0,0,0,0,0,0,0,0,0
OJE Safe,0,0,0,0,0,0,0,0,0,0,0,0,0
ONe Learn,0,0,0,0,0,0,0,0,0,0,0,0,0
Ne Pulse,0,0,0,0,0,0,0,0,0,0,0,0,0
AGONE,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

================================================================================
SECTION 3: ANNUAL SUMMARY BY RESOURCE TYPE
================================================================================

Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

================================================================================
SECTION 4: PER-PROJECT RESOURCE BREAKDOWN
================================================================================

--- AGONEWorkj ---
